ID	Region__autocolor	Organism__autocolor	Type_1__autocolor	Type_2__autocolor	Product__autocolor	Similarity
BGC0001117_CBZ42156	MiBIG	-	Streptomyces himastatinicus ATCC 53653	NRP	NRP	himastatin	100
BGC0000001_AEK75492	MiBIG	-	Verrucosispora maris AB-18-032	Polyketide	Polyketide	abyssomicin	100
BGC0001177_AHL46700	MiBIG	-	Streptomyces bottropensis	Polyketide	Polyketide	mensacaricin	100
BGC0001036_AGZ15464	MiBIG	-	Streptomyces sp. MK498-98F14	NRP-Polyketide	NRP-Polyketide	polyoxypeptin	100
BGC0001292_ALE27491	MiBIG	-	Streptomyces sp. NRRL 12068	Other	Other	A33853	100
BGC0000877_ABX24503	MiBIG	-	Streptomyces cacaoi subsp. asoensis	Other	Other	polyoxin	100
BGC0001038_AGC24249	MiBIG	-	Nonomuraea spiralis	NRP-Polyketide	NRP-Polyketide	pyralomicin	100
BGC0001622_ARG41913	MiBIG	-	Streptomyces sp.	Polyketide	Polyketide	isatropolone A-isotropolone B-isotropolone C	100
BGC0000274_AFY23040	MiBIG	-	uncultured bacterium	Polyketide	Polyketide	tetarimycin	100
BGC0001179_AHL46726	MiBIG	-	Streptomyces bottropensis	Polyketide	Polyketide	rishirilide B	100
BGC0001719_AWM72920	MiBIG	-	Streptomyces olivaceus	Polyketide	Polyketide	olimycin A-olimycin B	100
BGC0001151_AFH74309	MiBIG	-	Streptomyces antibioticus	Other	Other	clavams	100
BGC0000021_AEP40943	MiBIG	-	Nocardiopsis sp. FU40	Polyketide	Polyketide	apoptolidin	100
BGC0001660_ARW80048	MiBIG	-	Marinactinospora thermotolerans	RiPP	RiPP	mathermycin	100
BGC0001065_AEZ64593	MiBIG	-	Streptomyces chromofuscus	Polyketide	Polyketide	herboxidiene	100
BGC0001676_AVR52617	MiBIG	-	Streptomyces sp. FXJ1.235	Alkaloid	Alkaloid	mycemycin A-mycemycin B-mycemycin C-mycemycin D-mycemycin E	100
BGC0000238_ABX71104	MiBIG	-	Streptomyces rishiriensis	Polyketide	Polyketide	lactonamycin	100
BGC0001448_ARU08096	MiBIG	-	uncultured bacterium	NRP	NRP	malacidin	100
BGC0000082_ACB46500	MiBIG	-	Actinomadura kijaniata	Polyketide	Polyketide	kijanimicin	100
BGC0000040_AAZ94408	MiBIG	-	Streptomyces neyagawaensis	Polyketide	Polyketide	concanamycin A	100
BGC0001004_AGI99506	MiBIG	-	Streptomyces sp. SCSIO 01127	Polyketide	Polyketide	lobophorin	100
BGC0001183_AGC09475	MiBIG	-	Streptomyces sp. FXJ7.023	Polyketide	Polyketide	lobophorin	100
BGC0000877_ABX24502	MiBIG	-	Streptomyces cacaoi subsp. asoensis	Other	Other	polyoxin	100
BGC0001719_AWM72913	MiBIG	-	Streptomyces olivaceus	Polyketide	Polyketide	olimycin A-olimycin B	100
BGC0001061_ACN64819	MiBIG	-	Streptomyces diastatochromogenes	Polyketide-Saccharide	Polyketide-Saccharide	polyketomycin	100
BGC0000395_AAT09796	MiBIG	-	Nocardia uniformis subsp. tsuyamanensis	NRP	NRP	nocardicin A	100
BGC0001409_AKD43527	MiBIG	-	Streptomyces minoensis	Polyketide	Polyketide	dutomycin	100
BGC0001179_AHL46719	MiBIG	-	Streptomyces bottropensis	Polyketide	Polyketide	rishirilide B	100
BGC0000162_ACB37727	MiBIG	-	Micromonospora chalcea	Polyketide	Polyketide	tetrocarcin A	100
BGC0001106_ABS90482	MiBIG	-	Streptomyces albus	NRP-Polyketide	NRP-Polyketide	oxazolomycin	100
BGC0001433_SCO70297	MiBIG	-	Streptomyces argillaceus	Polyketide	Polyketide	argimycin P	100
BGC0000822_CAC93708	MiBIG	-	Lechevalieria aerocolonigenes	Alkaloid	Alkaloid	rebeccamycin	100
BGC0000821_BAC10669	MiBIG	-	Lechevalieria aerocolonigenes	Other	Other	rebeccamycin	100
BGC0001060_ACB47053	MiBIG	-	Micromonospora chersina	Polyketide	Polyketide	dynemicin	100
BGC0001060_ACB47044	MiBIG	-	Micromonospora chersina	Polyketide	Polyketide	dynemicin	100
BGC0000625_BAN83917	MiBIG	-	Streptomyces olivoviridis	RiPP	RiPP	thioviridamide	100
BGC0001803_BAN83917	MiBIG	-	Streptomyces olivoviridis	RiPP	RiPP	thioviridamide	100
BGC0000843_EFG08000	MiBIG	-	Streptomyces clavuligerus ATCC 27064	Other	Other	clavams	100
BGC0001213_EYT83454	MiBIG	-	Streptomyces sp. Tu 6176	Polyketide	Polyketide	nataxazole	100
BGC0001213_EYT83438	MiBIG	-	Streptomyces sp. Tu 6176	Polyketide	Polyketide	nataxazole	100
BGC0000033_AAM94777	MiBIG	-	Micromonospora echinospora	Polyketide	Polyketide	calicheamicin	100
BGC0000376_BAP16683	MiBIG	-	Streptomyces sp. Sp080513GE-23	NRP	NRP	JBIR-34,JBIR-35	100
BGC0001292_ALE27495	MiBIG	-	Streptomyces sp. NRRL 12068	Other	Other	A33853	100
BGC0001368_WP_051700101	MiBIG	-	Streptomyces sp. NRRL F-4474	NRP	NRP	tambromycin	100
BGC0000274_AFY23047	MiBIG	-	uncultured bacterium	Polyketide	Polyketide	tetarimycin	100
