fig|6666666.590939.peg.6683	35.1	Streptomyces rochei CC110	T1PKS	T1PKS	levorin A3 / C06690 / FR-008-III / candicidin A / UNII-AP5PEF5W7U	28
fig|6666666.590939.peg.6188	280.3	Streptomyces rochei CC506	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6187	280.3	Streptomyces rochei CC505	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6186	280.3	Streptomyces rochei CC504	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6185	280.3	Streptomyces rochei CC503	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6184	280.3	Streptomyces rochei CC502	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6183	280.3	Streptomyces rochei CC501	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6182	280.3	Streptomyces rochei CC500	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6181	280.3	Streptomyces rochei CC499	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6180	280.3	Streptomyces rochei CC498	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6179	280.3	Streptomyces rochei CC497	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6178	280.3	Streptomyces rochei CC496	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6177	280.3	Streptomyces rochei CC495	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6176	280.3	Streptomyces rochei CC494	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6175	280.3	Streptomyces rochei CC493	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6174	280.3	Streptomyces rochei CC492	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6173	280.3	Streptomyces rochei CC491	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6172	280.3	Streptomyces rochei CC490	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6171	280.3	Streptomyces rochei CC489	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6170	280.3	Streptomyces rochei CC488	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6169	280.3	Streptomyces rochei CC487	NRPS-like	NRPS-like	streptothricin	58
fig|6666666.590939.peg.6115	280.2	Streptomyces rochei CC486	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6114	280.2	Streptomyces rochei CC485	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6113	280.2	Streptomyces rochei CC484	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6112	280.2	Streptomyces rochei CC483	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6111	280.2	Streptomyces rochei CC482	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6110	280.2	Streptomyces rochei CC481	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6109	280.2	Streptomyces rochei CC480	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6108	280.2	Streptomyces rochei CC479	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6107	280.2	Streptomyces rochei CC478	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6106	280.2	Streptomyces rochei CC477	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6105	280.2	Streptomyces rochei CC476	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6104	280.2	Streptomyces rochei CC475	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6103	280.2	Streptomyces rochei CC474	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6102	280.2	Streptomyces rochei CC473	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6101	280.2	Streptomyces rochei CC472	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6100	280.2	Streptomyces rochei CC471	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6099	280.2	Streptomyces rochei CC470	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6098	280.2	Streptomyces rochei CC469	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6097	280.2	Streptomyces rochei CC468	indole	indole	7-prenylisatin	100
fig|6666666.590939.peg.6095	280.1	Streptomyces rochei CC467	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6094	280.1	Streptomyces rochei CC466	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6093	280.1	Streptomyces rochei CC465	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6092	280.1	Streptomyces rochei CC464	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6091	280.1	Streptomyces rochei CC463	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6090	280.1	Streptomyces rochei CC462	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6089	280.1	Streptomyces rochei CC461	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6088	280.1	Streptomyces rochei CC460	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6087	280.1	Streptomyces rochei CC459	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6086	280.1	Streptomyces rochei CC458	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6085	280.1	Streptomyces rochei CC457	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6084	280.1	Streptomyces rochei CC456	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6083	280.1	Streptomyces rochei CC455	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6082	280.1	Streptomyces rochei CC454	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6081	280.1	Streptomyces rochei CC453	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6080	280.1	Streptomyces rochei CC452	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6079	280.1	Streptomyces rochei CC451	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6078	280.1	Streptomyces rochei CC450	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6077	280.1	Streptomyces rochei CC449	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6076	280.1	Streptomyces rochei CC448	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6075	280.1	Streptomyces rochei CC447	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6074	280.1	Streptomyces rochei CC446	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6073	280.1	Streptomyces rochei CC445	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.6072	280.1	Streptomyces rochei CC444	terpene	terpene	isorenieratene	85
fig|6666666.590939.peg.5679	91.1	Streptomyces rochei CC252	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5678	91.1	Streptomyces rochei CC251	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5677	91.1	Streptomyces rochei CC250	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5676	91.1	Streptomyces rochei CC249	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5675	91.1	Streptomyces rochei CC248	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5674	91.1	Streptomyces rochei CC247	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5673	91.1	Streptomyces rochei CC246	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5672	91.1	Streptomyces rochei CC245	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5671	91.1	Streptomyces rochei CC244	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5670	91.1	Streptomyces rochei CC243	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5669	91.1	Streptomyces rochei CC242	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5668	91.1	Streptomyces rochei CC241	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5667	91.1	Streptomyces rochei CC240	T1PKS	T1PKS	67-121C	29
fig|6666666.590939.peg.5468	344.3	Streptomyces rochei CC654	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5467	344.3	Streptomyces rochei CC653	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5466	344.3	Streptomyces rochei CC652	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5465	344.3	Streptomyces rochei CC651	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5464	344.3	Streptomyces rochei CC650	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5463	344.3	Streptomyces rochei CC649	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5462	344.3	Streptomyces rochei CC648	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5461	344.3	Streptomyces rochei CC647	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5460	344.3	Streptomyces rochei CC646	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5459	344.3	Streptomyces rochei CC645	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5458	344.3	Streptomyces rochei CC644	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5457	344.3	Streptomyces rochei CC643	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5456	344.3	Streptomyces rochei CC642	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5455	344.3	Streptomyces rochei CC641	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5454	344.3	Streptomyces rochei CC640	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5453	344.3	Streptomyces rochei CC639	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5452	344.3	Streptomyces rochei CC638	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5451	344.3	Streptomyces rochei CC637	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5450	344.3	Streptomyces rochei CC636	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5449	344.3	Streptomyces rochei CC635	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5448	344.3	Streptomyces rochei CC634	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5447	344.3	Streptomyces rochei CC633	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5446	344.3	Streptomyces rochei CC632	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5445	344.3	Streptomyces rochei CC631	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5444	344.3	Streptomyces rochei CC630	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5443	344.3	Streptomyces rochei CC629	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5442	344.3	Streptomyces rochei CC628	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5441	344.3	Streptomyces rochei CC627	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5440	344.3	Streptomyces rochei CC626	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5439	344.3	Streptomyces rochei CC625	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5438	344.3	Streptomyces rochei CC624	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5437	344.3	Streptomyces rochei CC623	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5436	344.3	Streptomyces rochei CC622	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5435	344.3	Streptomyces rochei CC621	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5434	344.3	Streptomyces rochei CC620	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5433	344.3	Streptomyces rochei CC619	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5432	344.3	Streptomyces rochei CC618	NRPS	NRPS	coelibactin	100
fig|6666666.590939.peg.5426	344.2	Streptomyces rochei CC617	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5425	344.2	Streptomyces rochei CC616	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5424	344.2	Streptomyces rochei CC615	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5423	344.2	Streptomyces rochei CC614	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5422	344.2	Streptomyces rochei CC613	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5421	344.2	Streptomyces rochei CC612	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5420	344.2	Streptomyces rochei CC611	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5419	344.2	Streptomyces rochei CC610	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5418	344.2	Streptomyces rochei CC609	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5417	344.2	Streptomyces rochei CC608	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5416	344.2	Streptomyces rochei CC607	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5415	344.2	Streptomyces rochei CC606	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5414	344.2	Streptomyces rochei CC605	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5413	344.2	Streptomyces rochei CC604	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5412	344.2	Streptomyces rochei CC603	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5411	344.2	Streptomyces rochei CC602	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5410	344.2	Streptomyces rochei CC601	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5409	344.2	Streptomyces rochei CC600	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5408	344.2	Streptomyces rochei CC599	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5407	344.2	Streptomyces rochei CC598	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5406	344.2	Streptomyces rochei CC597	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5405	344.2	Streptomyces rochei CC596	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5404	344.2	Streptomyces rochei CC595	lanthipeptide	lanthipeptide		
fig|6666666.590939.peg.5394	344.1	Streptomyces rochei CC594	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5393	344.1	Streptomyces rochei CC593	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5392	344.1	Streptomyces rochei CC592	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5391	344.1	Streptomyces rochei CC591	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5390	344.1	Streptomyces rochei CC590	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5389	344.1	Streptomyces rochei CC589	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5388	344.1	Streptomyces rochei CC588	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5387	344.1	Streptomyces rochei CC587	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5386	344.1	Streptomyces rochei CC586	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5385	344.1	Streptomyces rochei CC585	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5384	344.1	Streptomyces rochei CC584	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5383	344.1	Streptomyces rochei CC583	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5382	344.1	Streptomyces rochei CC582	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5381	344.1	Streptomyces rochei CC581	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5380	344.1	Streptomyces rochei CC580	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5379	344.1	Streptomyces rochei CC579	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5378	344.1	Streptomyces rochei CC578	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5377	344.1	Streptomyces rochei CC577	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5376	344.1	Streptomyces rochei CC576	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5375	344.1	Streptomyces rochei CC575	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5374	344.1	Streptomyces rochei CC574	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5373	344.1	Streptomyces rochei CC573	lanthipeptide	lanthipeptide	SapB	100
fig|6666666.590939.peg.5362	245.1	Streptomyces rochei CC415	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5361	245.1	Streptomyces rochei CC414	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5360	245.1	Streptomyces rochei CC413	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5359	245.1	Streptomyces rochei CC412	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5358	245.1	Streptomyces rochei CC411	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5357	245.1	Streptomyces rochei CC410	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5356	245.1	Streptomyces rochei CC409	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5355	245.1	Streptomyces rochei CC408	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5354	245.1	Streptomyces rochei CC407	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5353	245.1	Streptomyces rochei CC406	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5352	245.1	Streptomyces rochei CC405	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5351	245.1	Streptomyces rochei CC404	NRPS	NRPS	CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b	20
fig|6666666.590939.peg.5071	381.1	Streptomyces rochei CC660	butyrolactone	butyrolactone	lactonamycin	7
fig|6666666.590939.peg.5070	381.1	Streptomyces rochei CC659	butyrolactone	butyrolactone	lactonamycin	7
fig|6666666.590939.peg.5069	381.1	Streptomyces rochei CC658	butyrolactone	butyrolactone	lactonamycin	7
fig|6666666.590939.peg.5068	381.1	Streptomyces rochei CC657	butyrolactone	butyrolactone	lactonamycin	7
fig|6666666.590939.peg.5067	381.1	Streptomyces rochei CC656	butyrolactone	butyrolactone	lactonamycin	7
fig|6666666.590939.peg.5066	381.1	Streptomyces rochei CC655	butyrolactone	butyrolactone	lactonamycin	7
fig|6666666.590939.peg.5024	307.1	Streptomyces rochei CC553	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5023	307.1	Streptomyces rochei CC552	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5022	307.1	Streptomyces rochei CC551	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5021	307.1	Streptomyces rochei CC550	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5020	307.1	Streptomyces rochei CC549	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5019	307.1	Streptomyces rochei CC548	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5018	307.1	Streptomyces rochei CC547	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5017	307.1	Streptomyces rochei CC546	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5016	307.1	Streptomyces rochei CC545	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5015	307.1	Streptomyces rochei CC544	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5014	307.1	Streptomyces rochei CC543	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5013	307.1	Streptomyces rochei CC542	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5012	307.1	Streptomyces rochei CC541	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5011	307.1	Streptomyces rochei CC540	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5010	307.1	Streptomyces rochei CC539	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5009	307.1	Streptomyces rochei CC538	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.5008	307.1	Streptomyces rochei CC537	T1PKS	transAT-PKS	candicidin	28
fig|6666666.590939.peg.4880	133.1	Streptomyces rochei CC331	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4879	133.1	Streptomyces rochei CC330	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4878	133.1	Streptomyces rochei CC329	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4877	133.1	Streptomyces rochei CC328	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4876	133.1	Streptomyces rochei CC327	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4875	133.1	Streptomyces rochei CC326	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4874	133.1	Streptomyces rochei CC325	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4873	133.1	Streptomyces rochei CC324	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4872	133.1	Streptomyces rochei CC323	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4871	133.1	Streptomyces rochei CC322	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4870	133.1	Streptomyces rochei CC321	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4869	133.1	Streptomyces rochei CC320	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4868	133.1	Streptomyces rochei CC319	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4867	133.1	Streptomyces rochei CC318	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4866	133.1	Streptomyces rochei CC317	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4865	133.1	Streptomyces rochei CC316	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4864	133.1	Streptomyces rochei CC315	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4863	133.1	Streptomyces rochei CC314	T2PKS	T2PKS	spore pigment	58
fig|6666666.590939.peg.4862	302.2	Streptomyces rochei CC536	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4861	302.2	Streptomyces rochei CC535	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4860	302.2	Streptomyces rochei CC534	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4859	302.2	Streptomyces rochei CC533	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4858	302.2	Streptomyces rochei CC532	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4857	302.2	Streptomyces rochei CC531	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4856	302.2	Streptomyces rochei CC530	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4855	302.2	Streptomyces rochei CC529	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4854	302.2	Streptomyces rochei CC528	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4853	302.2	Streptomyces rochei CC527	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4852	302.2	Streptomyces rochei CC526	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4851	302.2	Streptomyces rochei CC525	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4850	302.2	Streptomyces rochei CC524	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4849	302.2	Streptomyces rochei CC523	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4848	302.2	Streptomyces rochei CC522	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4847	302.2	Streptomyces rochei CC521	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4846	302.2	Streptomyces rochei CC520	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4845	302.2	Streptomyces rochei CC519	terpene	terpene	versipelostatin	5
fig|6666666.590939.peg.4831	302.1	Streptomyces rochei CC518	bacteriocin	bacteriocin	informatipeptin	28
fig|6666666.590939.peg.4830	302.1	Streptomyces rochei CC517	bacteriocin	bacteriocin	informatipeptin	28
fig|6666666.590939.peg.4829	302.1	Streptomyces rochei CC516	bacteriocin	bacteriocin	informatipeptin	28
fig|6666666.590939.peg.4828	302.1	Streptomyces rochei CC515	bacteriocin	bacteriocin	informatipeptin	28
fig|6666666.590939.peg.4827	302.1	Streptomyces rochei CC514	bacteriocin	bacteriocin	informatipeptin	28
fig|6666666.590939.peg.4710	124.1	Streptomyces rochei CC289	hglE-KS	hglE-KS		
fig|6666666.590939.peg.4709	124.1	Streptomyces rochei CC288	hglE-KS	hglE-KS		
fig|6666666.590939.peg.4689	10.1	Streptomyces rochei CC76	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4688	10.1	Streptomyces rochei CC75	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4687	10.1	Streptomyces rochei CC74	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4686	10.1	Streptomyces rochei CC73	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4685	10.1	Streptomyces rochei CC72	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4684	10.1	Streptomyces rochei CC71	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4683	10.1	Streptomyces rochei CC70	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4682	10.1	Streptomyces rochei CC69	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4681	10.1	Streptomyces rochei CC68	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4680	10.1	Streptomyces rochei CC67	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4679	10.1	Streptomyces rochei CC66	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4678	10.1	Streptomyces rochei CC65	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.4677	10.1	Streptomyces rochei CC64	siderophore	siderophore	paulomycin	9
fig|6666666.590939.peg.446	126.1	Streptomyces rochei CC313	indole	indole	5-isoprenylindole-3-carboxylate beta-D-glycosyl ester	28
fig|6666666.590939.peg.445	126.1	Streptomyces rochei CC312	indole	indole	5-isoprenylindole-3-carboxylate beta-D-glycosyl ester	28
fig|6666666.590939.peg.444	126.1	Streptomyces rochei CC311	indole	indole	5-isoprenylindole-3-carboxylate beta-D-glycosyl ester	28
fig|6666666.590939.peg.443	126.1	Streptomyces rochei CC310	indole	indole	5-isoprenylindole-3-carboxylate beta-D-glycosyl ester	28
fig|6666666.590939.peg.442	126.1	Streptomyces rochei CC309	indole	indole	5-isoprenylindole-3-carboxylate beta-D-glycosyl ester	28
fig|6666666.590939.peg.441	126.1	Streptomyces rochei CC308	indole	indole	5-isoprenylindole-3-carboxylate beta-D-glycosyl ester	28
fig|6666666.590939.peg.440	126.1	Streptomyces rochei CC307	indole	indole	5-isoprenylindole-3-carboxylate beta-D-glycosyl ester	28
