fig|6666666.590940.peg.3941	CuatroCienegas	23.3	Streptomyces rochei CC503	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3940	CuatroCienegas	23.3	Streptomyces rochei CC502	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.394	CuatroCienegas	8.3	Streptomyces rochei CC274	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.3939	CuatroCienegas	23.3	Streptomyces rochei CC501	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3938	CuatroCienegas	23.3	Streptomyces rochei CC500	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3937	CuatroCienegas	23.3	Streptomyces rochei CC499	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3936	CuatroCienegas	23.3	Streptomyces rochei CC498	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3935	CuatroCienegas	23.3	Streptomyces rochei CC497	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3934	CuatroCienegas	23.3	Streptomyces rochei CC496	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3933	CuatroCienegas	23.3	Streptomyces rochei CC495	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3932	CuatroCienegas	23.3	Streptomyces rochei CC494	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3931	CuatroCienegas	23.3	Streptomyces rochei CC493	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3930	CuatroCienegas	23.3	Streptomyces rochei CC492	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.393	CuatroCienegas	8.3	Streptomyces rochei CC273	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.3929	CuatroCienegas	23.3	Streptomyces rochei CC491	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3928	CuatroCienegas	23.3	Streptomyces rochei CC490	lanthipeptide	lanthipeptide		
fig|6666666.590940.peg.3922	CuatroCienegas	23.2	Streptomyces rochei CC489	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3921	CuatroCienegas	23.2	Streptomyces rochei CC488	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3920	CuatroCienegas	23.2	Streptomyces rochei CC487	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.392	CuatroCienegas	8.3	Streptomyces rochei CC272	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.3919	CuatroCienegas	23.2	Streptomyces rochei CC486	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3918	CuatroCienegas	23.2	Streptomyces rochei CC485	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3917	CuatroCienegas	23.2	Streptomyces rochei CC484	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3916	CuatroCienegas	23.2	Streptomyces rochei CC483	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3915	CuatroCienegas	23.2	Streptomyces rochei CC482	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3914	CuatroCienegas	23.2	Streptomyces rochei CC481	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3913	CuatroCienegas	23.2	Streptomyces rochei CC480	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3912	CuatroCienegas	23.2	Streptomyces rochei CC479	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3911	CuatroCienegas	23.2	Streptomyces rochei CC478	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3910	CuatroCienegas	23.2	Streptomyces rochei CC477	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.391	CuatroCienegas	8.3	Streptomyces rochei CC271	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.3909	CuatroCienegas	23.2	Streptomyces rochei CC476	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3908	CuatroCienegas	23.2	Streptomyces rochei CC475	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3907	CuatroCienegas	23.2	Streptomyces rochei CC474	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3906	CuatroCienegas	23.2	Streptomyces rochei CC473	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3905	CuatroCienegas	23.2	Streptomyces rochei CC472	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3904	CuatroCienegas	23.2	Streptomyces rochei CC471	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3903	CuatroCienegas	23.2	Streptomyces rochei CC470	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3902	CuatroCienegas	23.2	Streptomyces rochei CC469	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3901	CuatroCienegas	23.2	Streptomyces rochei CC468	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3900	CuatroCienegas	23.2	Streptomyces rochei CC467	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.390	CuatroCienegas	8.3	Streptomyces rochei CC270	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.3899	CuatroCienegas	23.2	Streptomyces rochei CC466	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3898	CuatroCienegas	23.2	Streptomyces rochei CC465	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3897	CuatroCienegas	23.2	Streptomyces rochei CC464	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3896	CuatroCienegas	23.2	Streptomyces rochei CC463	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3895	CuatroCienegas	23.2	Streptomyces rochei CC462	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3894	CuatroCienegas	23.2	Streptomyces rochei CC461	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3893	CuatroCienegas	23.2	Streptomyces rochei CC460	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3892	CuatroCienegas	23.2	Streptomyces rochei CC459	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3891	CuatroCienegas	23.2	Streptomyces rochei CC458	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3890	CuatroCienegas	23.2	Streptomyces rochei CC457	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.389	CuatroCienegas	8.3	Streptomyces rochei CC269	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.3889	CuatroCienegas	23.2	Streptomyces rochei CC456	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3888	CuatroCienegas	23.2	Streptomyces rochei CC455	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3887	CuatroCienegas	23.2	Streptomyces rochei CC454	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3886	CuatroCienegas	23.2	Streptomyces rochei CC453	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.3885	CuatroCienegas	23.2	Streptomyces rochei CC452	NRPS	NRPS	coelibactin	100
fig|6666666.590940.peg.388	CuatroCienegas	8.3	Streptomyces rochei CC268	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.387	CuatroCienegas	8.3	Streptomyces rochei CC267	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.386	CuatroCienegas	8.3	Streptomyces rochei CC266	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.385	CuatroCienegas	8.3	Streptomyces rochei CC265	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.384	CuatroCienegas	8.3	Streptomyces rochei CC264	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.383	CuatroCienegas	8.3	Streptomyces rochei CC263	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.382	CuatroCienegas	8.3	Streptomyces rochei CC262	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.381	CuatroCienegas	8.3	Streptomyces rochei CC261	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.3803	CuatroCienegas	23.1	Streptomyces rochei CC451	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3802	CuatroCienegas	23.1	Streptomyces rochei CC450	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3801	CuatroCienegas	23.1	Streptomyces rochei CC449	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3800	CuatroCienegas	23.1	Streptomyces rochei CC448	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.380	CuatroCienegas	8.3	Streptomyces rochei CC260	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.3799	CuatroCienegas	23.1	Streptomyces rochei CC447	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3798	CuatroCienegas	23.1	Streptomyces rochei CC446	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3797	CuatroCienegas	23.1	Streptomyces rochei CC445	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3796	CuatroCienegas	23.1	Streptomyces rochei CC444	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3795	CuatroCienegas	23.1	Streptomyces rochei CC443	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3794	CuatroCienegas	23.1	Streptomyces rochei CC442	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3793	CuatroCienegas	23.1	Streptomyces rochei CC441	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3792	CuatroCienegas	23.1	Streptomyces rochei CC440	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3791	CuatroCienegas	23.1	Streptomyces rochei CC439	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3790	CuatroCienegas	23.1	Streptomyces rochei CC438	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.379	CuatroCienegas	8.3	Streptomyces rochei CC259	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.3789	CuatroCienegas	23.1	Streptomyces rochei CC437	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3788	CuatroCienegas	23.1	Streptomyces rochei CC436	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3787	CuatroCienegas	23.1	Streptomyces rochei CC435	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3786	CuatroCienegas	23.1	Streptomyces rochei CC434	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3785	CuatroCienegas	23.1	Streptomyces rochei CC433	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3784	CuatroCienegas	23.1	Streptomyces rochei CC432	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3783	CuatroCienegas	23.1	Streptomyces rochei CC431	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3782	CuatroCienegas	23.1	Streptomyces rochei CC430	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3781	CuatroCienegas	23.1	Streptomyces rochei CC429	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3780	CuatroCienegas	23.1	Streptomyces rochei CC428	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.378	CuatroCienegas	8.3	Streptomyces rochei CC258	lanthipeptide	lanthipeptide	catenulipeptin	60
fig|6666666.590940.peg.3779	CuatroCienegas	23.1	Streptomyces rochei CC427	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3778	CuatroCienegas	23.1	Streptomyces rochei CC426	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3777	CuatroCienegas	23.1	Streptomyces rochei CC425	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3776	CuatroCienegas	23.1	Streptomyces rochei CC424	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3775	CuatroCienegas	23.1	Streptomyces rochei CC423	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3774	CuatroCienegas	23.1	Streptomyces rochei CC422	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3773	CuatroCienegas	23.1	Streptomyces rochei CC421	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3772	CuatroCienegas	23.1	Streptomyces rochei CC420	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3771	CuatroCienegas	23.1	Streptomyces rochei CC419	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3770	CuatroCienegas	23.1	Streptomyces rochei CC418	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3769	CuatroCienegas	23.1	Streptomyces rochei CC417	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3768	CuatroCienegas	23.1	Streptomyces rochei CC416	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3767	CuatroCienegas	23.1	Streptomyces rochei CC415	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3766	CuatroCienegas	23.1	Streptomyces rochei CC414	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3765	CuatroCienegas	23.1	Streptomyces rochei CC413	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3764	CuatroCienegas	23.1	Streptomyces rochei CC412	NRPS	NRPS	coelichelin	100
fig|6666666.590940.peg.3688	CuatroCienegas	50.1	Streptomyces rochei CC738	ectoine	ectoine	ectoine	100
fig|6666666.590940.peg.3687	CuatroCienegas	50.1	Streptomyces rochei CC737	ectoine	ectoine	ectoine	100
fig|6666666.590940.peg.3686	CuatroCienegas	50.1	Streptomyces rochei CC736	ectoine	ectoine	ectoine	100
fig|6666666.590940.peg.3685	CuatroCienegas	50.1	Streptomyces rochei CC735	ectoine	ectoine	ectoine	100
fig|6666666.590940.peg.3684	CuatroCienegas	50.1	Streptomyces rochei CC734	ectoine	ectoine	ectoine	100
fig|6666666.590940.peg.3683	CuatroCienegas	50.1	Streptomyces rochei CC733	ectoine	ectoine	ectoine	100
fig|6666666.590940.peg.3682	CuatroCienegas	50.1	Streptomyces rochei CC732	ectoine	ectoine	ectoine	100
fig|6666666.590940.peg.3681	CuatroCienegas	50.1	Streptomyces rochei CC731	ectoine	ectoine	ectoine	100
fig|6666666.590940.peg.3680	CuatroCienegas	50.1	Streptomyces rochei CC730	ectoine	ectoine	ectoine	100
fig|6666666.590940.peg.3679	CuatroCienegas	50.1	Streptomyces rochei CC729	ectoine	ectoine	ectoine	100
fig|6666666.590940.peg.3498	CuatroCienegas	56.2	Streptomyces rochei CC877	siderophore	siderophore		
fig|6666666.590940.peg.3497	CuatroCienegas	56.2	Streptomyces rochei CC876	siderophore	siderophore		
fig|6666666.590940.peg.3496	CuatroCienegas	56.2	Streptomyces rochei CC875	siderophore	siderophore		
fig|6666666.590940.peg.3495	CuatroCienegas	56.2	Streptomyces rochei CC874	siderophore	siderophore		
fig|6666666.590940.peg.3494	CuatroCienegas	56.2	Streptomyces rochei CC873	siderophore	siderophore		
fig|6666666.590940.peg.3493	CuatroCienegas	56.2	Streptomyces rochei CC872	siderophore	siderophore		
fig|6666666.590940.peg.3492	CuatroCienegas	56.2	Streptomyces rochei CC871	siderophore	siderophore		
fig|6666666.590940.peg.3491	CuatroCienegas	56.2	Streptomyces rochei CC870	siderophore	siderophore		
fig|6666666.590940.peg.3292	CuatroCienegas	56.1	Streptomyces rochei CC869	bacteriocin	bacteriocin		
fig|6666666.590940.peg.3291	CuatroCienegas	56.1	Streptomyces rochei CC868	bacteriocin	bacteriocin		
fig|6666666.590940.peg.3290	CuatroCienegas	56.1	Streptomyces rochei CC867	bacteriocin	bacteriocin		
fig|6666666.590940.peg.3289	CuatroCienegas	56.1	Streptomyces rochei CC866	bacteriocin	bacteriocin		
fig|6666666.590940.peg.3288	CuatroCienegas	56.1	Streptomyces rochei CC865	bacteriocin	bacteriocin		
fig|6666666.590940.peg.3287	CuatroCienegas	56.1	Streptomyces rochei CC864	bacteriocin	bacteriocin		
fig|6666666.590940.peg.3286	CuatroCienegas	56.1	Streptomyces rochei CC863	bacteriocin	bacteriocin		
fig|6666666.590940.peg.3285	CuatroCienegas	56.1	Streptomyces rochei CC862	bacteriocin	bacteriocin		
fig|6666666.590940.peg.3284	CuatroCienegas	56.1	Streptomyces rochei CC861	bacteriocin	bacteriocin		
fig|6666666.590940.peg.326	CuatroCienegas	8.2	Streptomyces rochei CC257	lanthidin	lanthidin		
fig|6666666.590940.peg.3253	CuatroCienegas	2.2	Streptomyces rochei CC126	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3252	CuatroCienegas	2.2	Streptomyces rochei CC125	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3251	CuatroCienegas	2.2	Streptomyces rochei CC124	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3250	CuatroCienegas	2.2	Streptomyces rochei CC123	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.325	CuatroCienegas	8.2	Streptomyces rochei CC256	lanthidin	lanthidin		
fig|6666666.590940.peg.3249	CuatroCienegas	2.2	Streptomyces rochei CC122	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3248	CuatroCienegas	2.2	Streptomyces rochei CC121	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3247	CuatroCienegas	2.2	Streptomyces rochei CC120	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3246	CuatroCienegas	2.2	Streptomyces rochei CC119	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3245	CuatroCienegas	2.2	Streptomyces rochei CC118	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3244	CuatroCienegas	2.2	Streptomyces rochei CC117	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3243	CuatroCienegas	2.2	Streptomyces rochei CC116	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3242	CuatroCienegas	2.2	Streptomyces rochei CC115	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3241	CuatroCienegas	2.2	Streptomyces rochei CC114	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3240	CuatroCienegas	2.2	Streptomyces rochei CC113	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.324	CuatroCienegas	8.2	Streptomyces rochei CC255	lanthidin	lanthidin		
fig|6666666.590940.peg.3239	CuatroCienegas	2.2	Streptomyces rochei CC112	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3238	CuatroCienegas	2.2	Streptomyces rochei CC111	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3237	CuatroCienegas	2.2	Streptomyces rochei CC110	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3236	CuatroCienegas	2.2	Streptomyces rochei CC109	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3235	CuatroCienegas	2.2	Streptomyces rochei CC108	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3234	CuatroCienegas	2.2	Streptomyces rochei CC107	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3233	CuatroCienegas	2.2	Streptomyces rochei CC105	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3232	CuatroCienegas	2.2	Streptomyces rochei CC104	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3231	CuatroCienegas	2.2	Streptomyces rochei CC103	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3230	CuatroCienegas	2.2	Streptomyces rochei CC102	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.323	CuatroCienegas	8.2	Streptomyces rochei CC254	lanthidin	lanthidin		
fig|6666666.590940.peg.3229	CuatroCienegas	2.2	Streptomyces rochei CC101	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3228	CuatroCienegas	2.2	Streptomyces rochei CC100	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3227	CuatroCienegas	2.2	Streptomyces rochei CC99	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3226	CuatroCienegas	2.2	Streptomyces rochei CC98	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3225	CuatroCienegas	2.2	Streptomyces rochei CC97	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3224	CuatroCienegas	2.2	Streptomyces rochei CC96	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3223	CuatroCienegas	2.2	Streptomyces rochei CC95	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3222	CuatroCienegas	2.2	Streptomyces rochei CC94	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3221	CuatroCienegas	2.2	Streptomyces rochei CC93	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3220	CuatroCienegas	2.2	Streptomyces rochei CC92	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.322	CuatroCienegas	8.2	Streptomyces rochei CC253	lanthidin	lanthidin		
fig|6666666.590940.peg.3219	CuatroCienegas	2.2	Streptomyces rochei CC91	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3218	CuatroCienegas	2.2	Streptomyces rochei CC90	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3217	CuatroCienegas	2.2	Streptomyces rochei CC89	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3216	CuatroCienegas	2.2	Streptomyces rochei CC88	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3215	CuatroCienegas	2.2	Streptomyces rochei CC87	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3214	CuatroCienegas	2.2	Streptomyces rochei CC86	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3213	CuatroCienegas	2.2	Streptomyces rochei CC85	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3212	CuatroCienegas	2.2	Streptomyces rochei CC84	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3211	CuatroCienegas	2.2	Streptomyces rochei CC83	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3210	CuatroCienegas	2.2	Streptomyces rochei CC82	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.321	CuatroCienegas	8.2	Streptomyces rochei CC252	lanthidin	lanthidin		
fig|6666666.590940.peg.3209	CuatroCienegas	2.2	Streptomyces rochei CC81	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3208	CuatroCienegas	2.2	Streptomyces rochei CC80	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3207	CuatroCienegas	2.2	Streptomyces rochei CC79	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3206	CuatroCienegas	2.2	Streptomyces rochei CC78	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3205	CuatroCienegas	2.2	Streptomyces rochei CC77	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3204	CuatroCienegas	2.2	Streptomyces rochei CC76	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3203	CuatroCienegas	2.2	Streptomyces rochei CC75	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3202	CuatroCienegas	2.2	Streptomyces rochei CC74	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3201	CuatroCienegas	2.2	Streptomyces rochei CC73	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3200	CuatroCienegas	2.2	Streptomyces rochei CC72	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.320	CuatroCienegas	8.2	Streptomyces rochei CC251	lanthidin	lanthidin		
fig|6666666.590940.peg.3199	CuatroCienegas	2.2	Streptomyces rochei CC71	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3198	CuatroCienegas	2.2	Streptomyces rochei CC70	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3197	CuatroCienegas	2.2	Streptomyces rochei CC69	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3196	CuatroCienegas	2.2	Streptomyces rochei CC68	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3195	CuatroCienegas	2.2	Streptomyces rochei CC67	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3194	CuatroCienegas	2.2	Streptomyces rochei CC66	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3193	CuatroCienegas	2.2	Streptomyces rochei CC65	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3192	CuatroCienegas	2.2	Streptomyces rochei CC64	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3191	CuatroCienegas	2.2	Streptomyces rochei CC63	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3190	CuatroCienegas	2.2	Streptomyces rochei CC62	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.319	CuatroCienegas	8.2	Streptomyces rochei CC250	lanthidin	lanthidin		
fig|6666666.590940.peg.3189	CuatroCienegas	2.2	Streptomyces rochei CC61	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3188	CuatroCienegas	2.2	Streptomyces rochei CC60	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3187	CuatroCienegas	2.2	Streptomyces rochei CC59	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3186	CuatroCienegas	2.2	Streptomyces rochei CC58	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3185	CuatroCienegas	2.2	Streptomyces rochei CC57	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.3184	CuatroCienegas	2.2	Streptomyces rochei CC56	T2PKS	T2PKS	spore pigment	66
fig|6666666.590940.peg.318	CuatroCienegas	8.2	Streptomyces rochei CC249	lanthidin	lanthidin		
fig|6666666.590940.peg.317	CuatroCienegas	8.2	Streptomyces rochei CC248	lanthidin	lanthidin		
fig|6666666.590940.peg.316	CuatroCienegas	8.2	Streptomyces rochei CC247	lanthidin	lanthidin		
fig|6666666.590940.peg.315	CuatroCienegas	8.2	Streptomyces rochei CC246	lanthidin	lanthidin		
fig|6666666.590940.peg.3148	CuatroCienegas	2.1	Streptomyces rochei CC55	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3147	CuatroCienegas	2.1	Streptomyces rochei CC54	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3146	CuatroCienegas	2.1	Streptomyces rochei CC53	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3145	CuatroCienegas	2.1	Streptomyces rochei CC52	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3144	CuatroCienegas	2.1	Streptomyces rochei CC51	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3143	CuatroCienegas	2.1	Streptomyces rochei CC50	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3142	CuatroCienegas	2.1	Streptomyces rochei CC49	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3141	CuatroCienegas	2.1	Streptomyces rochei CC48	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3140	CuatroCienegas	2.1	Streptomyces rochei CC47	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.314	CuatroCienegas	8.2	Streptomyces rochei CC245	lanthidin	lanthidin		
fig|6666666.590940.peg.3139	CuatroCienegas	2.1	Streptomyces rochei CC46	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3138	CuatroCienegas	2.1	Streptomyces rochei CC45	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3137	CuatroCienegas	2.1	Streptomyces rochei CC44	terpene	terpene	albaflavenone	100
fig|6666666.590940.peg.3136	CuatroCienegas	2.1	Streptomyces rochei CC43	terpene	terpene	albaflavenone	100
